policy_id,customer_name,gender,age,marital_status,state,city,pincode,aadhaar_masked,occupation_type,annual_income_Amount,bmi,tobacco_usage,physical_activity_level,policy_type,sum_insured,policy_start_date,claim_date,hospital_name,hospital_tier,room_category,cashless_claim,agent_channel,hospital_bill_amount,total_claim_amount
IND107215,Forum Devan,Female,18,Widowed,Delhi,New Delhi,249652,XXXX-XXXX-1262,Student,268567.26,20.58598197,both,low,family_floater,5000000,25/05/2018,15/06/2022,Joshi-Morar Hospital,private_corporate,private,yes,agent,26698.42,26013.66
IND107364,Damini Khurana,Male,26,Single,Uttar Pradesh,Noida,372585,XXXX-XXXX-1263,Retired,269916.93,20.90681856,both,low,family_floater,2000000,12/03/2023,28/10/2027,Atwal-Yohannan Hospital,private_corporate,deluxe,yes,bancassurance,27103.45,26081.32
IND100287,Triveni Vig,Male,27,Single,Uttar Pradesh,Lucknow,571829,XXXX-XXXX-1264,Self-employed,270892.25,28.56946359,none,low,individual,1000000,21/12/2021,27/07/2024,"Deshmukh, Batra and Varma Hospital",private_corporate,general,no,online,27256.33,26144.96
IND105388,Chakrika Prasad,female,37,Widowed,Karnataka,Mysuru,442836,XXXX-XXXX-1265,Unemployed,270989.57,23.22593684,both,moderate,senior_citizen,5000000,26/09/2023,05/02/2028,Ahuja-Dewan Hospital,private_small,semi-private,yes,bancassurance,27455.71,26789.58
IND101078,Yahvi Balakrishnan,female,36,Single,Karnataka,Mysuru,728738,XXXX-XXXX-1268,Business,272874.83,29.32999774,smoking,moderate,senior_citizen,1000000,13/03/2020,17/02/2023,"Atwal, Kumer and Ramachandran Hospital",private_small,semi-private,yes,online,27675.87,27056.75
IND105788,Anusha Saha,female,43,married,Uttar Pradesh,Kanpur,442305,XXXX-XXXX-1273,Self-employed,273968.2,24.36457686,none,low,family_floater,1000000,17/03/2023,03/07/2025,Kala-Goswami Hospital,private_corporate,deluxe,yes,bancassurance,27790.54,27446.74
IND107273,Gaurangi Sengupta,female,51,Single,Karnataka,Mysuru,474799,XXXX-XXXX-1274,Unemployed,274087.27,26.14103212,smoking,low,individual,500000,03/12/2022,01/03/2026,Chhabra-Jhaveri Hospital,private_small,deluxe,yes,aggregator,27817.39,27542.78
IND104786,Hritik Vaidya,female,60,Single,Tamil Nadu,Coimbatore,682791,XXXX-XXXX-1289,Salaried,274791.63,21.89761312,smoking,low,individual,300000,23/02/2021,18/06/2023,Bansal-Handa Hospital,private_small,semi-private,yes,aggregator,28057.94,27941.32
IND107464,Pranav Ghosh,Female,18,married,Tamil Nadu,Chennai,843541,XXXX-XXXX-1293,Self-employed,275034.43,27.77778603,none,low,individual,300000,06/06/2021,08/11/2024,Mishra-Nagi Hospital,private_small,deluxe,yes,bancassurance,28170.21,27991.35
IND107515,Gautami Seth,Male,38,Divorced,Delhi,New Delhi,572239,XXXX-XXXX-1299,Business,275983.84,22.96417629,smoking,low,family_floater,300000,21/10/2019,06/11/2023,"Jhaveri, Pradhan and Lala Hospital",private_corporate,private,yes,aggregator,28264.71,28527.31
IND107977,Onkar Bajwa,Female,55,Divorced,Karnataka,Mysuru,689492,XXXX-XXXX-1301,Unemployed,276558.21,23.1718685,smoking,low,family_floater,5000000,01/02/2019,12/11/2022,Talwar PLC Hospital,private_corporate,general,yes,bancassurance,28343.32,28588.59
IND103279,Onkar Raja,Male,35,Single,Karnataka,Mysuru,756764,XXXX-XXXX-1303,Unemployed,276733.28,20.58880432,none,low,senior_citizen,5000000,21/10/2020,30/01/2024,Prashad-Balay Hospital,private_small,general,yes,aggregator,28425.55,28600.28
IND100155,Isha Edwin,female,18,Divorced,Karnataka,Bengaluru,146211,XXXX-XXXX-1304,Salaried,277351.96,19.81561881,none,high,senior_citizen,2000000,19/08/2020,09/12/2024,Choudhary and Sons Hospital,private_corporate,general,yes,bancassurance,28497.93,28694.96
IND105260,Aryan Chowdhury,female,18,married,West Bengal,Kolkata,192492,XXXX-XXXX-1306,Student,277368.81,22.26588505,smoking,moderate,individual,5000000,16/02/2020,05/04/2021,Luthra PLC Hospital,private_corporate,deluxe,yes,online,28514.77,29232.61
IND104870,Krish Chaudhry,female,50,Married,Karnataka,Bengaluru,535182,XXXX-XXXX-1308,Salaried,278501.43,23.19633999,none,low,individual,1000000,12/01/2019,06/11/2023,Bhargava Group Hospital,govt,semi-private,no,aggregator,28576.18,29467.64
IND103187,Ishita Nagi,Female,56,Widowed,Delhi,New Delhi,480253,XXXX-XXXX-1309,Unemployed,279306.44,21.65388593,smoking,low,individual,2000000,14/01/2019,21/12/2021,Trivedi-Borra Hospital,private_small,private,no,aggregator,28711.64,29603.18
IND107042,Idika Sridhar,Male,29,married,Tamil Nadu,Chennai,733954,XXXX-XXXX-1312,Salaried,279764.7,25.72932312,none,high,family_floater,2000000,23/12/2020,11/04/2021,Yogi-Srivastava Hospital,govt,private,yes,agent,28817.78,29898
IND105263,Tejas Brahmbhatt,Female,18,Married,Maharashtra,Mumbai,212430,XXXX-XXXX-1315,Unemployed,280312.63,30.2365024,chewing,moderate,individual,2000000,06/01/2023,23/08/2026,Kant-Zachariah Hospital,private_corporate,private,no,aggregator,28838.1,29949.94
IND105753,Wridesh Vyas,male,35,Widowed,Maharashtra,Nagpur,771190,XXXX-XXXX-1319,Business,281310.19,22.8815137,none,moderate,family_floater,500000,11/01/2018,15/02/2019,Rao-Narayanan Hospital,private_corporate,deluxe,yes,online,28912.57,30038.67
IND107802,Naveen Aggarwal,female,64,Single,Tamil Nadu,Coimbatore,797020,XXXX-XXXX-1321,Retired,281986.07,18.10329784,chewing,moderate,individual,5000000,18/11/2018,25/10/2022,Dhingra LLC Hospital,private_corporate,general,no,bancassurance,29017.39,30071.65
IND100756,Widisha Maharaj,female,77,married,Tamil Nadu,Chennai,614266,XXXX-XXXX-1325,Student,283175.35,26.62704836,none,low,individual,500000,07/05/2021,06/08/2025,"Doctor, Kaul and Korpal Hospital",private_corporate,semi-private,yes,online,29404.68,30299.7
IND100631,Vyanjana Menon,Male,65,Divorced,Tamil Nadu,Coimbatore,860247,XXXX-XXXX-1327,Unemployed,283209.8,25.90697647,smoking,moderate,individual,5000000,03/01/2023,21/11/2027,Sabharwal and Sons Hospital,private_corporate,deluxe,yes,agent,29419.52,30313.13
IND104862,Tejas Bose,Male,45,Single,Karnataka,Bengaluru,199937,XXXX-XXXX-1334,Unemployed,283252.71,18.94750613,none,high,individual,2000000,25/11/2018,23/11/2022,"Sankaran, Balakrishnan and Karnik Hospital",private_corporate,general,no,aggregator,29515.77,30410.13
IND105793,Yashoda Mane,Male,47,Single,West Bengal,Kolkata,361070,XXXX-XXXX-1344,Retired,283921.55,24.92419563,none,low,individual,5000000,31/07/2019,03/02/2024,"Raja, Oommen and Choudhury Hospital",private_corporate,private,yes,agent,29669.49,30510.78
IND102507,Hiral Pathak,Male,54,Widowed,Maharashtra,Pune,138390,XXXX-XXXX-1354,Unemployed,284046.21,26.56009397,smoking,moderate,family_floater,300000,24/06/2023,23/11/2028,Mallick Inc Hospital,private_small,general,yes,aggregator,30024.62,30545.9
IND107532,Sudiksha Korpal,Male,51,Divorced,Uttar Pradesh,Lucknow,361487,XXXX-XXXX-1356,Unemployed,284929.25,25.15944903,none,high,family_floater,500000,21/09/2020,14/08/2025,Wagle Ltd Hospital,private_corporate,general,no,online,30098.47,30571.77
IND106421,Kashish Edwin,male,59,Divorced,West Bengal,Kolkata,852722,XXXX-XXXX-1361,Retired,285093.94,31.0992064,smoking,moderate,family_floater,2000000,16/06/2023,25/10/2024,Choudhry-Amble Hospital,private_small,private,yes,aggregator,30279.83,30586.22
IND106437,Bhavna Sane,male,18,Widowed,Tamil Nadu,Coimbatore,725795,XXXX-XXXX-1362,Business,285752.98,27.74162479,none,moderate,individual,1000000,10/08/2020,16/12/2023,Sandhu and Sons Hospital,private_small,semi-private,yes,online,30291,30625.79
IND105022,Ekapad Goyal,male,34,Widowed,Uttar Pradesh,Lucknow,991041,XXXX-XXXX-1365,Business,287486.05,22.61285261,none,high,individual,300000,11/04/2020,19/01/2025,"Aggarwal, Devi and Dugar Hospital",private_small,general,yes,online,30376.17,30686.26
IND100823,Quincy Acharya,Female,61,Widowed,West Bengal,Kolkata,953565,XXXX-XXXX-1366,Business,287859.47,27.85319149,none,moderate,family_floater,5000000,08/12/2021,04/02/2027,Chander Ltd Hospital,private_small,general,no,aggregator,30894.1,30711
IND102848,Shaurya Hari,Female,77,Married,West Bengal,Kolkata,904378,XXXX-XXXX-1375,Retired,288170.2,33.49522741,smoking,high,family_floater,1000000,22/01/2018,22/03/2018,Bahl Group Hospital,private_corporate,general,yes,agent,30972.12,31157.39
IND103535,Robert Barad,Female,33,Widowed,West Bengal,Kolkata,853144,XXXX-XXXX-1379,Student,288278.37,24.67108911,smoking,moderate,senior_citizen,300000,01/06/2018,27/04/2023,Kibe-Saraf Hospital,private_corporate,general,yes,aggregator,31070.69,31280.73
IND106346,Zansi Shere,male,50,Married,Tamil Nadu,Chennai,342163,XXXX-XXXX-1380,Student,289584.15,20.95715647,chewing,moderate,individual,300000,20/05/2020,20/09/2021,Rajagopalan-Radhakrishnan Hospital,govt,deluxe,yes,bancassurance,31151.54,31331.39
IND101552,Nathan Andra,male,45,married,Karnataka,Mysuru,298652,XXXX-XXXX-1384,Business,290430.66,27.86220356,smoking,low,individual,2000000,15/01/2020,05/03/2021,Shanker Group Hospital,govt,general,yes,aggregator,31271.09,31346.32
IND100128,Quincy Desai,Male,38,Divorced,Maharashtra,Pune,495727,XXXX-XXXX-1388,Unemployed,290885.52,21.3367018,both,moderate,individual,300000,25/11/2021,20/02/2023,"Dani, De and Sani Hospital",govt,general,yes,agent,31321.18,31481.37
IND101106,Patrick Sachdev,Male,35,Widowed,Tamil Nadu,Coimbatore,616530,XXXX-XXXX-1392,Retired,291062.03,26.64863246,chewing,moderate,family_floater,5000000,13/04/2018,24/11/2019,Jani-Ahuja Hospital,private_small,general,no,aggregator,31504.35,31714.38
IND104084,Wakeeta Krishnan,female,18,Widowed,West Bengal,Kolkata,667557,XXXX-XXXX-1393,Unemployed,291268.5,25.52066366,smoking,low,individual,2000000,03/04/2018,22/12/2020,Som LLC Hospital,private_small,private,no,bancassurance,31705.16,31801.24
IND100844,Oeshi Brar,Male,42,Widowed,Tamil Nadu,Chennai,793291,XXXX-XXXX-1394,Business,291459.35,22.76589112,smoking,moderate,family_floater,300000,16/09/2018,26/04/2020,"Bhagat, Naik and Kannan Hospital",private_corporate,general,no,bancassurance,31724.72,31946
IND100760,Zaitra Bhatt,male,58,married,Uttar Pradesh,Kanpur,203818,XXXX-XXXX-1397,Unemployed,294668.46,27.98384429,smoking,high,family_floater,2000000,09/12/2020,02/05/2025,"Agrawal, Ravel and Venkataraman Hospital",private_small,private,no,online,31802.06,31960.63
IND106637,Tanveer Mohanty,Male,47,married,Tamil Nadu,Coimbatore,919684,XXXX-XXXX-1400,Business,295523.59,21.1797068,none,low,family_floater,1000000,02/03/2019,29/03/2023,Nagi-Narula Hospital,private_small,deluxe,yes,bancassurance,31930.34,32245.07
IND104525,Rajata Roy,male,18,Divorced,Maharashtra,Pune,634442,XXXX-XXXX-1405,Salaried,296550.14,25.87710566,both,high,individual,500000,17/01/2020,10/06/2024,"Keer, Saxena and Sha Hospital",private_corporate,private,yes,bancassurance,32152.97,32482.58
IND106061,Azaan Wadhwa,male,61,married,West Bengal,Kolkata,524942,XXXX-XXXX-1408,Salaried,296562.04,25.87943078,none,moderate,senior_citizen,5000000,28/05/2023,24/06/2027,"Babu, Pathak and Tailor Hospital",private_corporate,deluxe,no,agent,32208.48,32540.59
IND103974,Tristan Khosla,male,29,married,Uttar Pradesh,Noida,735894,XXXX-XXXX-1412,Unemployed,297105.28,29.61880356,smoking,low,family_floater,500000,07/03/2023,12/08/2024,"Dutta, Uppal and Sangha Hospital",private_corporate,private,no,bancassurance,32324.19,32576.49
IND101215,Kavya Mangal,male,45,Married,West Bengal,Kolkata,576900,XXXX-XXXX-1413,Business,297739.82,28.5136253,chewing,low,senior_citizen,5000000,06/06/2021,02/06/2022,Bahl-Savant Hospital,private_small,private,yes,agent,32367.97,32594.74
IND107494,Hardik Ramakrishnan,Male,68,Widowed,Uttar Pradesh,Kanpur,205973,XXXX-XXXX-1416,Salaried,298274.07,25.01850129,none,high,family_floater,1000000,02/02/2018,21/12/2022,"Bahl, Sharaf and Dora Hospital",private_corporate,general,no,bancassurance,32756.21,32746
IND106558,Ranveer Som,Female,40,Widowed,Maharashtra,Nagpur,948920,XXXX-XXXX-1418,Student,298911.44,25.85653806,none,high,individual,500000,13/11/2020,16/04/2025,Sundaram-Raman Hospital,private_corporate,semi-private,yes,aggregator,32857.08,32948.08
IND107608,Manthan Oommen,Female,40,Divorced,Delhi,New Delhi,343944,XXXX-XXXX-1419,Student,299956.66,27.22763373,none,low,individual,500000,05/10/2023,09/02/2028,"Sheth, Sankaran and Rau Hospital",private_small,deluxe,no,bancassurance,33193.76,33514.23
IND102743,Luke Rama,Female,72,Single,Karnataka,Bengaluru,658041,XXXX-XXXX-1424,Self-employed,300098.24,19.15917593,smoking,moderate,individual,500000,01/11/2018,29/02/2020,"Dutt, Grover and Mitter Hospital",private_corporate,general,yes,agent,33277.24,33854.68
IND102801,Harita Ben,Male,35,Divorced,Delhi,New Delhi,714585,XXXX-XXXX-1427,Student,300312.13,30.81514693,none,low,individual,300000,06/12/2021,16/10/2023,Kulkarni-Kumer Hospital,govt,deluxe,yes,agent,33290.54,33928.77
IND105067,Rohan Rout,Male,52,Married,Uttar Pradesh,Noida,807403,XXXX-XXXX-1434,Unemployed,302175.62,23.85203527,smoking,low,senior_citizen,500000,31/03/2021,22/03/2022,Maharaj Group Hospital,private_corporate,semi-private,yes,online,33786.08,34313.3
